hub_name,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,sorter,at,manpower_with_sorter,manpower_without_sorter
AHMEDABAD APEX,91370.66666666667,149990.33333333334,57926.666666666664,183434.33333333334,149990.33333333334,463278.19399999996,91899.0,150122.33333333334,92230.33333333333,149791.0,150122.33333333334,481170.7,1.0,7.0,19.666666666666668,23.0
BANGALORE YELAHANKA APEX,201837.66666666666,336955.0,101805.33333333333,436987.3333333333,336955.0,1031260.6506666667,203426.66666666666,344458.0,154352.0,393532.6666666667,344458.0,1006000.8080000001,1.0,7.0,34.333333333333336,41.333333333333336
BHUBANESWAR AIR APEX,26692.0,23239.666666666668,12156.0,37775.666666666664,23239.666666666668,41370.755,26769.0,22747.0,23705.0,25811.0,22747.0,41499.511666666665,0.0,7.0,8.666666666666666,9.0
COCHIN APEX,75395.66666666667,184787.66666666666,28578.0,231605.33333333334,184787.66666666666,534281.8526666666,60586.666666666664,158161.0,45258.666666666664,173489.0,158161.0,426284.82899999997,1.0,7.0,21.666666666666668,26.0
COIMBATORE APEX,32878.666666666664,56190.0,22768.666666666668,66300.0,56190.0,137418.5166666667,21855.333333333332,42001.333333333336,18379.333333333332,45477.333333333336,42001.333333333336,105418.08566666667,0.0,7.0,12.0,12.666666666666666
DELHI SAMALKHA APEX,662835.0,826077.6666666666,443701.6666666667,1045211.0,826077.6666666666,2401477.373,660302.0,839005.6666666666,263939.0,1235368.6666666667,839005.6666666666,2079942.0523333333,1.0,7.0,81.33333333333333,100.33333333333333
DHARAPUR APEX,20385.333333333332,68232.0,8098.666666666667,80518.66666666667,68232.0,380357.5123333333,13843.333333333334,49304.333333333336,33453.0,29694.666666666668,49304.333333333336,201429.53766666667,0.0,7.0,14.0,15.0
GUINDY APEX,42389.0,36827.0,0.0,79216.0,36827.0,67151.24533333333,42779.0,37114.666666666664,78895.66666666667,998.0,37114.666666666664,68453.85266666666,0.0,7.0,8.0,8.333333333333334
GURGAON BRANCH,53555.0,51704.0,0.0,105259.0,51704.0,154918.81900000002,30439.333333333332,27554.0,116.0,57877.333333333336,27554.0,112587.43066666667,0.0,7.0,9.666666666666666,10.666666666666666
HYDERABAD SHAMSHABAD APEX,238111.33333333334,385787.6666666667,72176.0,551723.0,385787.6666666667,1142433.032,236282.33333333334,383300.3333333333,127512.33333333333,492070.3333333333,383300.3333333333,1119150.2996666667,1.0,7.0,38.333333333333336,46.666666666666664
INDORE APEX,40152.333333333336,37872.0,21821.0,56203.333333333336,37872.0,63540.33966666667,38799.333333333336,34212.0,38475.666666666664,34535.666666666664,34212.0,61428.066,0.0,7.0,9.666666666666666,9.666666666666666
KOLKATA PAKURIA APEX,10666.666666666666,113752.33333333333,0.0,124419.0,113752.33333333333,563652.3186666666,10624.0,114131.66666666667,141.0,124614.66666666667,114131.66666666667,564992.843,1.0,7.0,15.666666666666666,18.333333333333332
KOLKATA RAJARHAT APEX,149642.0,159988.33333333334,87412.33333333333,222218.0,159988.33333333334,313115.97733333334,149680.0,157668.33333333334,115081.66666666667,192266.66666666666,157668.33333333334,303935.70033333334,0.0,7.0,16.666666666666668,20.333333333333332
LUCKNOW APEX,65409.0,106544.0,28397.0,143556.0,106544.0,417215.328,65232.0,104240.0,22440.666666666668,147031.33333333334,104240.0,395979.7993333333,1.0,7.0,17.333333333333332,19.666666666666668
MUMBAI SAKINAKA APEX,380197.3333333333,387226.0,264982.6666666667,502440.6666666667,387226.0,870276.9213333334,381296.6666666667,393948.0,220888.0,554356.6666666666,393948.0,887719.0926666666,1.0,7.0,40.333333333333336,48.333333333333336
NAGPUR AIR APEX,41478.0,21349.0,23848.0,38979.0,21349.0,35823.26766666667,41368.666666666664,21160.333333333332,31911.333333333332,30617.666666666668,21160.333333333332,35874.794,0.0,7.0,8.666666666666666,8.666666666666666
PANCHKULA APEX,18305.333333333332,17206.0,15953.0,19558.333333333332,17206.0,36391.04866666667,18377.333333333332,17247.0,16821.0,18803.333333333332,17247.0,36707.479666666666,0.0,7.0,8.666666666666666,8.333333333333334
PUNE APEX,157720.66666666666,221721.0,56286.333333333336,323155.3333333333,221721.0,695351.3103333333,156755.0,219673.0,70511.0,305917.0,219673.0,707731.518,1.0,7.0,25.333333333333332,30.666666666666668
RANCHI APEX,14416.0,15507.666666666666,11211.333333333334,18712.333333333332,15507.666666666666,56043.73066666666,13709.333333333334,22545.666666666668,10040.666666666666,26214.333333333332,22545.666666666668,79032.94366666666,0.0,7.0,9.333333333333334,9.0
SURAT APEX,12949.666666666666,84050.33333333333,35842.0,61158.0,84050.33333333333,154157.785,13614.666666666666,66397.0,4499.0,75512.66666666667,66397.0,139341.267,0.0,7.0,12.333333333333334,13.666666666666666
VELAPPANCHAVADI APEX,188895.0,246729.0,76443.66666666667,359180.3333333333,246729.0,894666.5219999999,187162.0,250374.0,18701.333333333332,418834.6666666667,250374.0,932565.5639999999,0.0,7.0,30.333333333333332,36.333333333333336
