hub_name,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,at,manpower_with_sorter,manpower_without_sorter
AHMEDABAD APEX,84211.0,140364.0,76160.0,223868.0,140364.0,387264.392,63583.0,101158.0,80382.0,84359.0,101158.0,319233.519,7.0,18.0,20.0
BANGALORE YELAHANKA APEX,150478.0,297943.0,113921.0,429695.0,297943.0,931536.038,125680.0,239255.0,153569.0,206199.0,239255.0,734303.566,7.0,28.0,34.0
BHUBANESWAR AIR APEX,25111.0,17665.0,303.0,29334.0,17665.0,39108.42,25043.0,18911.0,26730.0,30860.0,18911.0,37987.575,7.0,9.0,9.0
COCHIN APEX,89150.0,204544.0,31019.0,269640.0,204544.0,646411.231,66125.0,164779.0,60433.0,170471.0,164779.0,384419.401,7.0,21.0,25.0
COIMBATORE APEX,33292.0,47232.0,33620.0,46790.0,47232.0,97938.189,8953.0,18402.0,16582.0,6049.0,18402.0,41819.674,7.0,13.0,14.0
DELHI SAMALKHA APEX,486559.0,680168.0,378682.0,870500.0,680168.0,2428230.281,356932.0,512115.0,254683.0,711769.0,512115.0,1403783.931,7.0,63.0,77.0
DHARAPUR APEX,23295.0,42262.0,8304.0,57253.0,42262.0,250441.453,15177.0,60047.0,33834.0,36120.0,60047.0,237939.803,7.0,11.0,11.0
GUINDY APEX,56557.0,46349.0,0.0,102906.0,46349.0,83656.31,40668.0,35592.0,69983.0,807.0,35592.0,64186.796,7.0,8.0,8.0
GURGAON BRANCH,11004.0,15766.0,0.0,26287.0,15766.0,56943.517,24892.0,26080.0,107.0,50865.0,26080.0,139876.073,7.0,7.0,8.0
HYDERABAD SHAMSHABAD APEX,122879.0,278818.0,70.0,401637.0,278818.0,903954.486,157058.0,237583.0,138594.0,295896.0,237583.0,750210.842,7.0,28.0,33.0
INDORE APEX,43754.0,29865.0,17068.0,56551.0,29865.0,49227.913,31031.0,24806.0,35915.0,21909.0,24806.0,57605.315,7.0,9.0,9.0
KOLKATA PAKURIA APEX,12397.0,139849.0,0.0,152246.0,139849.0,679012.388,11681.0,107293.0,133.0,121493.0,107293.0,570696.338,7.0,16.0,19.0
KOLKATA RAJARHAT APEX,143736.0,85627.0,101493.0,151337.0,85627.0,186776.531,135407.0,88302.0,108165.0,104493.0,88302.0,187234.65,7.0,12.0,14.0
LUCKNOW APEX,64024.0,88777.0,16719.0,100104.0,88777.0,364682.779,69631.0,95495.0,27580.0,142253.0,95495.0,321320.868,7.0,16.0,18.0
MUMBAI SAKINAKA APEX,342787.0,278380.0,278329.0,342838.0,278380.0,590461.01,267556.0,269129.0,201818.0,325616.0,269129.0,613053.081,7.0,29.0,34.0
NAGPUR AIR APEX,45292.0,24476.0,25477.0,44344.0,24476.0,42054.448,37818.0,22367.0,33974.0,33166.0,22367.0,33147.899,7.0,9.0,9.0
PANCHKULA APEX,17089.0,18106.0,13446.0,26902.0,18106.0,35492.772,20155.0,19491.0,18988.0,17522.0,19491.0,42522.764,7.0,9.0,8.0
PUNE APEX,81056.0,110268.0,12211.0,179113.0,110268.0,382509.11,144927.0,165799.0,77161.0,224093.0,165799.0,436983.409,7.0,19.0,23.0
RANCHI APEX,11557.0,15805.0,2201.0,27082.0,15805.0,70461.794,11631.0,20568.0,11923.0,20276.0,20568.0,71200.529,7.0,9.0,9.0
SURAT APEX,16595.0,43529.0,428.0,64235.0,43529.0,56496.317,12514.0,79261.0,2884.0,95180.0,79261.0,168745.52,7.0,11.0,12.0
VELAPPANCHAVADI APEX,92197.0,203728.0,1216.0,295921.0,203728.0,667328.874,122692.0,243189.0,3874.0,362007.0,243189.0,844900.851,7.0,26.0,31.0
