hub_name,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,manpower_with_sorter,manpower_without_sorter
AHMEDABAD APEX,54600,79485,707,57925,79485,230724.299,43899.0,71962.0,69197.0,46664.0,71962.0,238022.966,13.0,15.0
BANGALORE YELAHANKA APEX,137848,227679,6096,264236,227679,605932.726,112230.0,233359.0,150751.0,194838.0,233359.0,644696.29,24.0,28.0
BHUBANESWAR AIR APEX,11972,17640,216,6802,17640,32830.371,19679.0,17096.0,7426.0,11860.0,17096.0,34857.554,9.0,8.0
COCHIN APEX,22705,76525,5479,68211,76525,232778.029,34014.0,88182.0,7391.0,114805.0,88182.0,217221.317,17.0,21.0
COIMBATORE APEX,3332,9016,952,11396,9016,21272.282,7168.0,15463.0,14202.0,3001.0,15463.0,33229.676,9.0,9.0
DELHI SAMALKHA APEX,454260,443275,263928,551152,443275,1070586.367,317662.0,439161.0,157278.0,376967.0,439161.0,1149262.525,49.0,59.0
DHARAPUR APEX,1978,15490,1088,16380,15490,58564.865,10793.0,27790.0,27038.0,9133.0,27790.0,90490.718,11.0,11.0
GUINDY APEX,9006,7341,0,16347,7341,11236.438,30771.0,30122.0,64487.0,311.0,30122.0,58924.793,7.0,8.0
GURGAON BRANCH,6879,15283,0,22645,15283,44883.611,11206.0,15639.0,85.0,26760.0,15639.0,49641.759,7.0,7.0
HYDERABAD SHAMSHABAD APEX,103554,165309,60,268793,165309,537161.213,128947.0,234648.0,98745.0,218397.0,234648.0,676372.059,25.0,29.0
INDORE APEX,27626,27138,109,54655,27138,42988.505,23735.0,21534.0,30656.0,12626.0,21534.0,40848.43,9.0,9.0
KOLKATA PAKURIA APEX,3000,32096,0,35096,32096,149914.379,5793.0,87558.0,92.0,93218.0,87558.0,413546.289,12.0,14.0
KOLKATA RAJARHAT APEX,76478,84071,10768,126314,84071,184789.302,75716.0,77251.0,105073.0,32011.0,77251.0,159274.222,12.0,14.0
LUCKNOW APEX,21085,23870,15775,28236,23870,68529.301,51727.0,94881.0,8274.0,133044.0,94881.0,293610.871,13.0,14.0
MUMBAI SAKINAKA APEX,103493,107050,31,210512,107050,231123.629,242605.0,170179.0,186118.0,163007.0,170179.0,347680.506,22.0,25.0
NAGPUR AIR APEX,13246,11940,39,25147,11940,20505.723,28215.0,16771.0,21423.0,10245.0,16771.0,28958.811,9.0,9.0
PANCHKULA APEX,16466,14525,518,1300,14525,31268.788,13674.0,9819.0,9351.0,4505.0,9819.0,23602.768,9.0,8.0
PUNE APEX,62591,100566,3068,160089,100566,307041.859,40107.0,108635.0,47739.0,101003.0,108635.0,436741.444,15.0,17.0
RANCHI APEX,10588,10473,280,423,10473,17828.623,1583.0,1439.0,60.0,2962.0,1439.0,5704.603,9.0,8.0
SURAT APEX,1120,3864,0,4984,3864,4859.532,1939.0,5563.0,141.0,4618.0,5563.0,16537.32,7.0,6.0
VELAPPANCHAVADI APEX,72468,112869,4,184121,112869,373508.873,79524.0,112182.0,1653.0,190053.0,112182.0,429191.871,22.0,26.0
