region,out_docs,out_non_docs,out_air,out_surface,out_ndx_out_vol,out_ndx_vol_wt,in_docs,in_non_docs,in_air,in_surface,in_ndx_out_vol,in_ndx_vol_wt,manpower_with_sorter,manpower_without_sorter
AHMEDABAD,312961,702122,281306,733777,702122,1852307.937,316541.0,649558.0,290188.0,675911.0,649558.0,1861535.901,96.0,110.0
BANGALORE,605513,1010865,305416,1310962,1010865,3093781.952,610280.0,1033374.0,463056.0,1180598.0,1033374.0,3018002.424,103.0,124.0
BHUBANESHWAR,80076,69719,36468,113327,69719,124112.265,80307.0,68241.0,71115.0,77433.0,68241.0,124498.535,26.0,27.0
CHENNAI,693852,850668,229331,1315189,850668,2885453.3019999997,689823.0,862466.0,292791.0,1259498.0,862466.0,3003058.25,115.0,134.0
COCHIN,226187,554363,85734,694816,554363,1602845.558,181760.0,474483.0,135776.0,520467.0,474483.0,1278854.487,65.0,78.0
COIMBATORE,98636,168570,68306,198900,168570,412255.55000000005,65566.0,126004.0,55138.0,136432.0,126004.0,316254.257,36.0,38.0
GGR REGIONAL OFFICE,160665,155112,0,315777,155112,464756.45700000005,91318.0,82662.0,348.0,173632.0,82662.0,337762.292,29.0,32.0
GHAZIABAD RO,196227,319632,85191,430668,319632,1251645.984,195696.0,312720.0,67322.0,441094.0,312720.0,1187939.398,52.0,59.0
GUWAHATI,61156,204696,24296,241556,204696,1141072.537,41530.0,147913.0,100359.0,89084.0,147913.0,604288.613,42.0,45.0
HHPT REGIONAL OFFICE,54916,51618,47859,58675,51618,109173.14600000001,55132.0,51741.0,50463.0,56410.0,51741.0,110122.439,26.0,25.0
HYDERABAD,714334,1157363,216528,1655169,1157363,3427299.096,708847.0,1149901.0,382537.0,1476211.0,1149901.0,3357450.8989999997,115.0,140.0
INDORE REGIONAL OFFICE,120457,113616,65463,168610,113616,190621.019,116398.0,102636.0,115427.0,103607.0,102636.0,184284.198,29.0,29.0
KOLKATA,480926,821222,262237,1039911,821222,2630304.8880000003,480912.0,815400.0,345668.0,950644.0,815400.0,2606785.63,97.0,116.0
MUMBAI,2281184,2323356,1589896,3014644,2323356,5221661.528,2287780.0,2363688.0,1325328.0,3326140.0,2363688.0,5326314.556,242.0,290.0
NAGPUR RO,124434,64047,71544,116937,64047,107469.803,124106.0,63481.0,95734.0,91853.0,63481.0,107624.382,26.0,26.0
NORTH DELHI RO,3977010,4956466,2662210,6271266,4956466,14408864.238,3961812.0,5034034.0,1583634.0,7412212.0,5034034.0,12479652.314,488.0,602.0
PATNA,43248,46523,33634,56137,46523,168131.19199999998,41128.0,67637.0,30122.0,78643.0,67637.0,237098.83099999998,28.0,27.0
PUNE,473162,665163,168859,969466,665163,2086053.931,470265.0,659019.0,211533.0,917751.0,659019.0,2123194.554,76.0,92.0
